Class,Sentence
NomAnaph,"He  laughed  rather  ruefully,  as  he  described  how  he  had  discovered  a  very  rare  species  of  fern  in  an  inaccessible  place,  and  in  his  efforts  to  obtain  it  had  lost  his  footing,  and  slipped  ignominiously  into  a  neighbouring  pond. "
NomAnaph,It  was  obviously  locked  or  bolted  on  the  inside. 
NomAnaph,It's  never  been  undone. 
NomAnaph,"The  framework  of  the  door  was  solid,  and  for  a  long  time  it  resisted  our  efforts,  but  at  last  we  felt  it  give  beneath  our  weight,  and  finally,  with  a  resounding  crash,  it  was  burst  open. "
NomAnaph,We  propose  that  it  should  take  place  tomorrow  night...or  rather  tonight. 
NomAnaph,"Wilkins  hadn't  an  idea  of  such  a  thing,  until  Bauerstein  put  it  into  his  head. "
NomAnaph,I  spent  it  in  ransacking  the  library  until  I  discovered  a  medical  book  which  gave  a  description  of  strychnine  poisoning. 
NomAnaph,"And  that  little  curious  fact,  that  possibly  paltry  little  detail  that  will  not  tally,  we  put  it  here! "
NomAnaph,"He  was  carefully  engaged  in  brushing  his  coat  before  putting  it  on,  and  seemed  wholly  engrossed  in  the  task. "
ClauseAnaph,"She  was  obviously  upset,  and  it  had  taken  her  appetite  away. "
NomAnaph,Therefore  she  drank  it  between  then  and  half-past  eight...certainly  not  much  later. 
NomAnaph,"In  the  meantime,  remember  it. "
NomAnaph,"He  retrieved  it,  and  buried  it  neatly. "
NomAnaph,"He  did  so,  on  the  round  table  by  the  window,  but  it  was  an  ill-advised  proceeding;  for,  the  top  of  it  being  loose,  it  tilted  up,  and  precipitated  the  despatch-case  on  the  floor. "
NomAnaph,"He  took  out  the  key  from  the  lock,  and  passed  it  to  me  to  inspect. "
NomAnaph,"It  was  an  ordinary  key  of  the  Yale  type,  with  a  bit  of  twisted  wire  through  the  handle. "
NomAnaph,"However,  he  went  to  the  length  of  unbolting  it,  and  opening  and  shutting  it  several  times;  this  he  did  with  the  utmost  precaution  against  making  any  noise. "
NomAnaph,"He  examined  it  carefully,  and  then,  nimbly  whipping  out  a  pair  of  small  forceps  from  his  case,  he  drew  out  some  minute  particle  which  he  carefully  sealed  up  in  a  tiny  envelope. "
NomAnaph,"A  small  quantity  of  a  dark  fluid  remained  in  the  saucepan,  and  an  empty  cup  and  saucer  that  had  been  drunk  out  of  stood  near  it. "
NomAnaph,"Poirot  delicately  dipped  his  finger  into  liquid,  and  tasted  it  gingerly. "
NomAnaph,"Mon  ami,  he  said,  turning  to  me,  somebody  stepped  on  that  cup,  grinding  it  to  powder,  and  the  reason  they  did  so  was  either  because  it  contained  strychnine  or...which  is  far  more  serious...because  it  did  not  contain  strychnine! "
NomAnaph,"It  fitted,  and  he  opened  the  box,  but  after  a  moment's  hesitation,  closed  and  relocked  it,  and  slipped  the  bunch  of  keys,  as  well  as  the  key  that  had  originally  stood  in  the  lock,  into  his  own  pocket. "
ClauseAnaph,But  it  should  be  done...at  once! 
NomAnaph,"He  went  down  on  his  knees,  examining  it  minutely...even  going  so  far  as  to  smell  it. "
NomAnaph,"Finally,  he  poured  a  few  drops  of  the  cocoa  into  a  test  tube,  sealing  it  up  carefully. "
NomAnaph,"No,  for  it  is  still  perceptibly  damp  and  smells  of  coffee. "
NomAnaph,"It  may  turn  out  to  be  a  piece  of  one  of  Mrs.  Inglethorp's  own  dresses,  and  quite  unimportant. "
NomAnaph,"It  must  have  been  done  since  yesterday,  otherwise  a  good  housemaid  would  have  at  once  removed  it  with  blotting-paper  and  a  hot  iron. "
NomAnaph,I  suppose  it  is  the  sample  of  cocoa. 
NomAnaph,The  fire  burns...and  it  destroys. 
NomAnaph,"I  relinquished  the  piece  of  paper,  and  watched  him  put  it  away  in  his  case,  with  the  same  methodical  care  that  he  bestowed  on  everything. "
NomAnaph,"We  went  out  through  that  door,  locking  both  it  and  that  of  Mrs.  Inglethorp's  room  as  before. "
NomAnaph,It  has  been  recently  done;  is  it  not  so? 
NomAnaph,"I  don't  know  if  it  was  a  letter,  or  just  a  piece  of  paper,  but  it  had  writing  on  it,  and  she  kept  staring  at  it,  almost  as  if  she  couldn't  believe  what  was  written  there. "
NomAnaph,"She  still  had  the  letter,  or  whatever  it  was,  in  her  hand? "
NomAnaph,What  would  she  be  likely  to  do  with  it  afterwards? 
NomAnaph,"Well,  I  don't  know,  sir,  I  expect  she  would  lock  it  up  in  that  purple  case  of  hers. "
NomAnaph,"She  brought  it  down  with  her  every  morning,  and  took  it  up  every  night. "
NomAnaph,"She  missed  it  yesterday  at  lunch-time,  sir,  and  told  me  to  look  carefully  for  it. "
NomAnaph,She  was  very  much  put  out  about  it. 
NomAnaph,"That's  it,  sir,  right  enough. "
NomAnaph,I  looked  everywhere  for  it. 
NomAnaph,"Ah,  but  you  see  it  was  not  in  the  same  place  yesterday  as  it  was  today. "
NomAnaph,"Five,  we  had,  before  the  war,  when  it  was  kept  as  a  gentleman's  place  should  be. "
NomAnaph,"I  wish  you  could  have  seen  it  then,  sir. "
NomAnaph,A  fair  sight  it  was. 
NomAnaph,It  was  Number  Six  of  my  catalogue. 
NomAnaph,"But  I  suppose,  as  the  last  powder  was  taken  two  days  ago,  it  is  not  of  much  importance? "
NomAnaph,I  examined  it  closely. 
NomAnaph,"It  does  not  matter,  said  Poirot,  not  betraying  any  sign  of  disappointment. "
NomAnaph,"Yes,  sir,  it  was  put  in  her  room  every  evening,  and  she  warmed  it  up  in  the  night...whenever  she  fancied  it. "
NomAnaph,What  was  it? 
NomAnaph,Who  took  it  to  her  room? 
NomAnaph,Did  you  bring  it  straight  up  from  the  kitchen  then? 
NomAnaph,"No,  sir,  you  see  there's  not  much  room  on  the  gas  stove,  so  Cook  used  to  make  it  early,  before  putting  the  vegetables  on  for  supper. "
NomAnaph,"Then  I  used  to  bring  it  up,  and  put  it  on  the  table  by  the  swing  door,  and  take  it  into  her  room  later. "
NomAnaph,"The  swing  door  is  in  the  left  wing,  is  it  not? "
NomAnaph,"And  the  table,  is  it  on  this  side  of  the  door,  or  on  the  farther...servants'  side? "
NomAnaph,What  time  did  you  bring  it  up  last  night? 
NomAnaph,And  when  did  you  take  it  into  Mrs.  Inglethorp's  room? 
NomAnaph,"Annie  had  been  growing  redder  and  redder  in  the  face,  and  now  she  blurted  out  unexpectedly:  And  if  there  was  salt  in  it,  sir,  it  wasn't  me. "
NomAnaph,What  makes  you  think  there  was  salt  in  it?  asked  Poirot. 
NomAnaph,"Seeing  it  on  the  tray,  sir. "
NomAnaph,"Coarse  kitchen  salt,  it  looked. "
NomAnaph,"I  never  noticed  it  when  I  took  the  tray  up,  but  when  I  came  to  take  it  into  the  mistress's  room  I  saw  it  at  once,  and  I  suppose  I  ought  to  have  taken  it  down  again,  and  asked  Cook  to  make  some  fresh. "
NomAnaph,"So  I  dusted  it  off  with  my  apron,  and  took  it  in. "
NomAnaph,"I  awaited  his  next  question  with  impatience,  but  it  disappointed  me. "
NomAnaph,"Yes,  sir;  it  always  was. "
NomAnaph,It  had  never  been  opened. 
NomAnaph,"I  couldn't  rightly  say,  sir;  it  was  shut  but  I  couldn't  say  whether  it  was  bolted  or  not. "
NomAnaph,She  usually  did  lock  it  at  night. 
NomAnaph,"Yes,  sir,  and  I  would  have  taken  it  out  with  a  piece  of  blotting-paper  and  a  hot  iron. "
NomAnaph,"That  salt  on  the  tray,  what  else  could  it  have  been? "
NomAnaph,"It  might  have  been  salt,  replied  Poirot  placidly. "
NomAnaph,"It  is  not  the  key,  but  it  will  open  it  at  a  pinch. "
NomAnaph,It  did  not  yield  much. 
NomAnaph,"He  pulled  a  crumpled  envelope  out  of  his  pocket,  and  tossed  it  over  to  me. "
NomAnaph,It  was  rather  a  curious  document. 
NomAnaph,"A  plain,  dirty  looking  old  envelope  with  a  few  words  scrawled  across  it,  apparently  at  random. "
NomAnaph,The  following  is  a  facsimile  of  it. 
NomAnaph,"Yes,  it  is  Mrs.  Inglethorp's. "
NomAnaph,I  cannot  say...but  it  is  suggestive. 
ClauseAnaph,Is  it  a  bargain? 
NomAnaph,I  saw  him  put  it  down  there. 
NomAnaph,I  suppose  you  are  quite  sure  that  the  latch-key  was  forgotten...that  he  did  not  take  it  after  all? 
NomAnaph,We  always  keep  it  in  the  hall  drawer. 
NomAnaph,I'll  go  and  see  if  it's  there  now. 
NomAnaph,I  am  certain  that  you  would  find  it. 
NomAnaph,"If  Mr.  Inglethorp  did  take  it,  he  has  had  ample  time  to  replace  it  by  now. "
NomAnaph,"If  anyone  had  chanced  to  look  this  morning  before  his  return,  and  seen  it  there,  it  would  have  been  a  valuable  point  in  his  favour. "
NomAnaph,"The  reaction  after  a  shock  is  always  trying,  and  I  think  we  were  all  suffering  from  it. "
NomAnaph,"Surely  he  could  not  be  unaware  of  the  fact,  conceal  it  as  we  would. "
NomAnaph,It  will  revive  you. 
NomAnaph,It  is  unparalleled  for  the  mal  de  tete. 
NomAnaph,"You  abandon  it  in  the  war-time,  eh? "
NomAnaph,"No,  I  never  take  it  in  coffee. "
NomAnaph,"It  puzzled  me,  for  I  saw  no  occasion  for  it. "
NomAnaph,"Can  you  give  us  no  help  in  solving  it,  monsieur? "
NomAnaph,"I  did,  but  it  contains  no  information. "
NomAnaph,"It  is  merely  a  note  asking  me  to  call  upon  her  this  morning,  as  she  wanted  my  advice  on  a  matter  of  great  importance. "
ClauseAnaph,"It  was,  to  my  mind,  a  very  fair  and  equitable  distribution. "
NomAnaph,Where  is  it  now? 
NomAnaph,"He  took  out  the  charred  fragment  we  had  found  in  the  grate  in  Mrs.  Inglethorp's  room,  and  handed  it  to  the  lawyer  with  a  brief  explanation  of  when  and  where  he  had  found  it. "
NomAnaph,In  fact  I  am  almost  certain  that  it  was  made  no  earlier  than  yesterday  afternoon. 
ClauseAnaph,"If  you  will  allow  me  to  send  for  your  gardener,  I  will  prove  it  to  you. "
NomAnaph,Dorcas  answered  it  in  due  course. 
NomAnaph,"Manning  came  slowly  and  hesitatingly  through  the  French  window,  and  stood  as  near  it  as  he  could. "
NomAnaph,"He  held  his  cap  in  his  hands,  twisting  it  very  carefully  round  and  round. "
ClauseAnaph,"She  just  told  Willum  to  go  on  his  bicycle  down  to  the  village,  and  bring  back  a  form  of  will,  or  such-like...I  don't  know  what  exactly...she  wrote  it  down  for  him. "
NomAnaph,What  did  she  do  with  it  afterwards? 
NomAnaph,"Well,  sir,  she  slipped  it  into  a  long  envelope,  and  put  it  inside  a  sort  of  purple  box  that  was  standing  on  the  desk. "
ClauseAnaph,"Mr.  Wells  cleared  his  throat  and  remarked  drily:  Are  you  so  sure  it  is  a  coincidence,  Cavendish? "
NomAnaph,"John,  I  think,  would  have  pressed  his  questions  further,  but  at  that  moment  the  loud  purr  of  a  motor  was  audible,  and  we  all  turned  to  the  window  as  it  swept  past. "
NomAnaph,"How  soon,  and  how  contemptuously,  I  had  dismissed  it  from  my  mind. "
ClauseAnaph,Now  he's  done  it. 
ClauseAnaph,Find  out  how  he  did  it. 
ClauseAnaph,"Don't  think  she  ever  realized  it,  though,  or  felt  the  lack  of  it. "
NomAnaph,"Taking  the  keys  from  Poirot,  John  unlocked  it,  and  we  all  passed  in. "
NomAnaph,"I  locked  it,  out  of  precaution,  this  morning. "
NomAnaph,But  it's  not  locked  now. 
NomAnaph,But  who  forced  it? 
NomAnaph,"As  to  the  door  being  locked,  it  is  a  very  ordinary  lock. "
NomAnaph,Probably  any  other  of  the  doorkeys  in  this  passage  would  fit  it. 
NomAnaph,It  was  vital  to  him  that  it  should  be  destroyed  before  it  was  discovered  and  its  significance  appreciated. 
NomAnaph,"Finding  the  case  locked,  he  was  obliged  to  force  it,  thus  betraying  his  presence. "
NomAnaph,I  should  have  carried  it  away  with  me. 
NomAnaph,And  now  it  is  gone. 
NomAnaph,It  is  destroyed...but  is  it  destroyed? 
NomAnaph,It  would  clear  the  air. 
NomAnaph,I  really  wonder  that  I  did  not  think  of  it  myself. 
NomAnaph,It  must  have  been  made  just  at  the  time  they  were  engaged. 
NomAnaph,It  came  quite  as  a  surprise  to  Wells...and  to  John  Cavendish  also. 
NomAnaph,"It  was  written  on  one  of  those  printed  will  forms,  and  witnessed  by  two  of  the  servants...not  Dorcas. "
NomAnaph,Did  Mr.  Inglethorp  know  of  it? 
NomAnaph,"And  have  you  not,  in  such  a  case,  tried  the  word  once  or  twice  on  the  edge  of  the  blotting-paper,  or  a  spare  scrap  of  paper,  to  see  if  it  looked  right? "
NomAnaph,"To  make  sure,  she  had  further  tried  it  in  a  sentence,  thus:  'I  am  possessed.' "
ClauseAnaph,I  did  not  know  it. 
ClauseAnaph,It  was  a  guess  that  turned  out  to  be  correct. 
NomAnaph,You  observed  that  it  had  a  piece  of  twisted  wire  through  the  handle. 
NomAnaph,That  suggested  to  me  at  once  that  it  had  possibly  been  wrenched  off  a  flimsy  key-ring. 
NomAnaph,"Now,  if  it  had  been  lost  and  recovered,  Mrs.  Inglethorp  would  at  once  have  replaced  it  on  her  bunch;  but  on  her  bunch  I  found  what  was  obviously  the  duplicate  key,  very  new  and  bright,  which  led  me  to  the  hypothesis  that  somebody  else  had  inserted  the  original  key  in  the  lock  of  the  despatch-case. "
NomAnaph,Every  fresh  circumstance  seems  to  establish  it  more  clearly. 
NomAnaph,"She  may  have  forgotten  to  bolt  the  door  into  the  passage  when  she  went  to  bed,  and  have  got  up  later,  towards  morning,  and  bolted  it  then. "
NomAnaph,For  it  is  of  the  most  complicated! 
NomAnaph,It  puzzles  me. 
ClauseAnaph,It  is  the  key  to  the  whole  riddle! 
NomAnaph,"Shorn  of  its  medical  phraseology  and  technicalities,  it  amounted  to  the  fact  that  Mrs.  Inglethorp  had  met  her  death  as  the  result  of  strychnine  poisoning. "
NomAnaph,The  symptoms  appear  from  one  to  two  hours  after  it  has  been  swallowed. 
NomAnaph,"It  is  retarded  under  certain  conditions,  none  of  which,  however,  appear  to  have  been  present  in  this  case. "
NomAnaph,"No,  I  myself  took  a  sample  of  the  cocoa  remaining  in  the  saucepan  and  had  it  analysed. "
NomAnaph,"It  can  be  detected  in  a  solution  of  1 in  70,000,  and  can  only  be  disguised  by  some  strongly  flavoured  substance. "
NomAnaph,cocoa  would  be  quite  powerless  to  mask  it. 
NomAnaph,Dr  Wilkins  corroborated  it  on  all  points. 
NomAnaph,"Sounded  as  to  the  possibility  of  suicide,  he  repudiated  it  utterly. "
NomAnaph,"My  mother,  at  the  time  of  her  death,  and  for  some  time  before  it,  was  taking  a  tonic  containing  strychnine. "
NomAnaph,"Strychnine  is,  in  a  certain  sense,  a  cumulative  poison,  but  it  would  be  quite  impossible  for  it  to  result  in  sudden  death  in  this  way. "
NomAnaph,"Dorcas's  evidence  on  this  point  was  substantially  what  Poirot  and  I  had  already  heard,  so  I  will  not  repeat  it  here. "
NomAnaph,"Dorcas  came  running  down  and  woke  my  husband,  and  we  all  went  to  my  mother-in-law's  mother-in-law's  room,  but  it  was  locked...... "
NomAnaph,"The  examination  was  over,  though  I  doubted  if  the  Coroner  was  entirely  satisfied  with  it. "
NomAnaph,"Poirot  and  I  had,  of  course  already  seen  it. "
NomAnaph,It  added  nothing  to  our  knowledge  of  the  tragedy. 
NomAnaph,"I  have  found  it  hard  to  forgive  the  things  you  said  against  my  dear  husband  but  I  am  an  old  woman  &  very  fond  of  you,  Yours  affectionately,  Emily  Inglethorpe  It  was  handed  to  the  jury  who  scrutinized  it  attentively. "
NomAnaph,"I  fear  it  does  not  help  us  much,  said  the  Coroner,  with  a  sigh. "
NomAnaph,It  shows  clearly  enough  that  my  poor  old  friend  had  just  found  out  she'd  been  made  a  fool  of! 
NomAnaph,Will  you  tell  us  to  whom  you  sold  it? 
NomAnaph,He  said  it  was  to  poison  a  dog. 
NomAnaph,"It  was  produced;  and,  with  a  few  words  of  stern  censure,  the  Coroner  dismissed  the  wretched  Mr.  Mace. "
NomAnaph,"He  took  an  old  envelope  out  of  his  pocket,  and  wrote  his  name  on  it,  handing  it  to  the  jury. "
NomAnaph,It  was  certainly  utterly  dissimilar. 
ClauseAnaph,"But  it  is  an  idea,  that! "
ClauseAnaph,You  think  it  is  true? 
ClauseAnaph,But  it  is  truly  an  ingenious  supposition. 
NomAnaph,"The  Coroner  reflected  a  moment,  then  he  said:  I  believe,  Mr.  Inglethorp,  that  you  yourself  poured  out  the  coffee,  and  took  it  to  your  wife  that  evening? "
NomAnaph,"I  poured  it  out,  yes. "
NomAnaph,But  I  did  not  take  it  to  her. 
NomAnaph,"When  I  came  through  the  hall  again  a  few  minutes  later,  it  was  gone. "
ClauseAnaph,But  it  will  bring  you  no  kudos...the  kudos...the  case  against  him  will  be  dismissed  at  once! 
ClauseAnaph,"I  daren't  do  it,  Mr.  Poirot. "
ClauseAnaph,"It  can  be  done,  he  said  at  last. "
ClauseAnaph,I  admit  I  do  not  wish  it. 
NomAnaph,It  has  to  be  examined...sifted. 
NomAnaph,"No,  my  friend,  this  evidence  has  been  very  cleverly  manufactured...so  cleverly  that  it  has  defeated  its  own  ends. "
NomAnaph,"Because,  so  long  as  the  evidence  against  him  was  vague  and  intangible,  it  was  very  hard  to  disprove. "
NomAnaph,He  did  not  buy  it. 
ClauseAnaph,Would  it  be  easy? 
ClauseAnaph,And  why  would  it  not  be  easy? 
ClauseAnaph,"It  was  a  foregone  conclusion  that  he  would  be  suspected;  but,  to  make  it  a  sure  thing  there  must  be  tangible  proof...such  as  the  actual  buying  of  the  poison,  and  that,  with  a  man  of  the  peculiar  appearance  of  Mr.  Inglethorp,  was  not  difficult. "
NomAnaph,"Oh,  yes,  I  had  a  little  idea  sometime  ago...and  it  has  turned  out  to  be  correct. "
NomAnaph,Did  nothing  strike  you  as  peculiar  about  it? 
NomAnaph,"No,  I  can't  say  it  did. "
NomAnaph,The  doctors  ridiculed  it  of  course. 
NomAnaph,But  it  was  quite  a  natural  suggestion  for  a  layman  to  make. 
NomAnaph,"That  object,  it  concerns  Mr.  Alfred  Inglethorp. "
NomAnaph,But  you  will  find  it  all  right. 
ClauseAnaph,"My  dear  Poirot,  I  expostulated,  I  never  thought  it  would  interest  you. "
ClauseAnaph,I  didn't  know  it  was  of  any  importance. 
ClauseAnaph,It  is  of  the  first  importance! 
ClauseAnaph,No  one  took  much  notice  of  that  at  the  inquest...but  now  it  has  a  very  different  significance. 
NomAnaph,"We  must  find  out  who  did  take  that  coffee  to  Mrs.  Inglethorp  eventually,  or  who  passed  through  the  hall  whilst  it  was  standing  there. "
NomAnaph,"I  had  rejected  it  as  absurd,  nevertheless  it  persisted. "
NomAnaph,"You  couldn't  call  it  a  suspicion,  I  murmured. "
NomAnaph,It's  so  utterly  foolish. 
NomAnaph,"She  might  have  burnt  the  new  one,  mistaking  it  for  the  earlier  one  in  his  favour. "
NomAnaph,"My  idea  was...a  very  ridiculous  one,  no  doubt...that  she  had  intended  to  poison  him...and  that,  in  some  way,  Mrs.  Inglethorp  got  hold  of  it  by  mistake. "
ClauseAnaph,But  I  don't  at  all  see  how  it  could  have  been  done. 
ClauseAnaph,But  what  does  it  mean? 
NomAnaph,"Dr  Bauerstein  had  it  tested,  and  you  yourself  laughed  at  the  possibility  of  there  being  strychnine  in  it. "
NomAnaph,"I  know  Dr  Bauerstein  had  it  tested,  replied  Poirot  quietly. "
NomAnaph,"Well,  I  have  a  fancy  for  having  it  analysed  again,  that  is  all. "
ClauseAnaph,"It  was  bad  enough  before,  when  we  thought  he'd  done  it,  but  I'm  hanged  if  it  isn't  worse  now,  when  we  all  feel  guilty  for  having  been  so  down  on  the  fellow. "
ClauseAnaph,Naturally  it  was  very  annoying  for  the  Cavendishes. 
NomAnaph,"It's  up  in  the  front  attic,  sir. "
NomAnaph,"We  will  look  at  the  chest,  although...but  no  matter...we  will  examine  it  all  the  same. "
NomAnaph,"He  seemed  somewhat  apathetic  in  the  search,  as  though  he  expected  no  great  results  from  it. "
NomAnaph,"He  turned  it  over  in  his  hands,  examining  it  closely. "
NomAnaph,"After  a  moment's  hesitation,  he  replaced  it  in  the  chest,  heaped  all  the  other  things  on  top  of  it  as  before,  and  made  his  way  briskly  downstairs. "
NomAnaph,I  am  much  obliged  to  you  for  mentioning  it. 
NomAnaph,"And  very  funny  it  is  sometimes,  sir. "
NomAnaph,"I  shall  never  forget  the  night  he  came  down  as  the  Char  of  Persia,  I  think  he  called  it...a  sort  of  Eastern  King  it  was. "
NomAnaph,"And  well  I  know  it,  for  he  borrowed  two  skeins  of  my  black  wool  to  make  it  with! "
NomAnaph,And  I'm  sure  it  looked  wonderfully  natural  at  a  distance. 
NomAnaph,Burnt  corks  they  use  mostly...though  'tis  messy  getting  it  off  again. 
NomAnaph,Do  you  think  it  is  the  one? 
NomAnaph,You  notice  it  had  been  trimmed? 
NomAnaph,"It  was  cut  exactly  the  shape  of  Mr.  Inglethorp's,  and  I  found  one  or  two  snipped  hairs. "
NomAnaph,"Who  put  it  in  the  chest,  I  wonder? "
NomAnaph,You  realize  that  he  chose  the  one  place  in  the  house  to  hide  it  where  its  presence  would  not  be  remarked? 
ClauseAnaph,"I  was  hurt,  and  showed  it. "
NomAnaph,I  beg  of  you  to  reply  to  it  truthfully. 
NomAnaph,It  is  this. 
ClauseAnaph,"If  I'm  convinced  he  did  it,  it  doesn't  matter  a  jot  to  me  how  he  did  it. "
ClauseAnaph,"If  you  are  convinced  he  did  it,  said  Poirot  quietly. "
NomAnaph,"He  repeated  it  to  me,  and  there  is  a  sentence  of  yours  that  has  impressed  me  very  much. "
ClauseAnaph,I  believe  it  too. 
ClauseAnaph,I  suppose  you  think  it  nonsense? 
NomAnaph,You  believe  him  capable  of  committing  it. 
NomAnaph,But  your  instinct  tells  you  he  did  not  commit  it. 
NomAnaph,It  tells  you  more...shall  I  go  on? 
ClauseAnaph,"Oh,  don't  say  it! "
ClauseAnaph,It  isn't  true! 
ClauseAnaph,It  can't  be  true. 
ClauseAnaph,"I  won't  admit  it,  even  to  myself. "
NomAnaph,Let  the  cost  be  what  it  may. 
NomAnaph,It  can  neither  be  explained  nor  ignored. 
NomAnaph,The  remark  seemed  so  utterly  irrelevant  that  I  did  not  even  take  the  trouble  to  answer  it. 
NomAnaph,"Otherwise,  Poirot  himself  might  relieve  me  of  it. "
NomAnaph,"A  really  perfect  bit  of  old  china...it's  pure  delight  to  handle  it,  or  even  to  look  at  it. "
NomAnaph,"Say  it  over  again,  will  you? "
NomAnaph,"What  I  want  to  ask  is  this:  the  door  leading  into  Mrs.  Inglethorp's  room  from  that  of  Mademoiselle  Cynthia,  it  was  bolted,  you  say? "
NomAnaph,"Certainly  it  was  bolted,  replied  Mary  Cavendish,  rather  surprised. I "
NomAnaph,"I  mean,  explained  Poirot,  you  are  sure  it  was  bolted,  and  not  merely  locked? "
NomAnaph,"I  said  bolted,  meaning  that  it  was  fastened,  and  I  could  not  open  it,  but  I  believe  all  the  doors  were  found  bolted  on  the  inside. "
NomAnaph,I...I  believe  it  was. 
NomAnaph,But  you  did  not  see  it? 
NomAnaph,I  happened  to  notice  that  it  was  bolted. 
NomAnaph,Do  you  think  she  would  show  it  to  me? 
NomAnaph,It's  an  interesting  little  place. 
ClauseAnaph,"After  all,  it  is  very  responsible  work. "
NomAnaph,"It  is  near  the  window,  this  cupboard? "
NomAnaph,"I  thought  about  the  crime,  and  it  struck  me  as  being  very  unreal  and  far  off. "
NomAnaph,"Probably,  I  thought,  it  really  never  happened. "
NomAnaph,"Of  course,  it  was  all  a  bad  dream. "
NomAnaph,It  leavens  the ...she  looked  at  him... stolid  stupidity  of  the  ordinary  Englishman. 
NomAnaph,"She  hesitated,  and  suddenly  there  swept  across  her  face  a  strange  expression,  old  as  the  hills,  yet  with  something  eternally  young  about  it. "
ClauseAnaph,"Pretty  thick,  isn't  it? "
ClauseAnaph,It  can't  last  for  ever. 
ClauseAnaph,"Can't  it,  though? "
ClauseAnaph,It  can  last  long  enough  for  us  never  to  be  able  to  hold  up  our  heads  again. 
ClauseAnaph,"John  lowered  his  voice:  Have  you  ever  thought,  Hastings...it's  a  nightmare  to  me...who  did  it? "
ClauseAnaph,Because...because...who  could  have  done  it? 
NomAnaph,"Rapidly,  I  considered  it. "
ClauseAnaph,It  would  have  been  very  risky. 
ClauseAnaph,"Yes,  but  it  was  possible. "
NomAnaph,"But,  look  here,  Bauerstein  had  had  it  analysed  already? "
NomAnaph,Bauerstein  had  it  analysed...that's  just  it! 
NomAnaph,"No,  it  wasn't,  I  admitted  reluctantly. "
NomAnaph,I  hoped  and  prayed  it  would  not  occur  to  John  also. 
ClauseAnaph,"The  whole  thing  would  have  come  out,  then,  and  he  would  have  been  in  an  awkward  position,  for  no  one  would  have  believed  that  a  man  of  his  reputation  could  have  been  deceived  into  calling  it  heart  disease. "
